"year","p50","weighted_avg_p","adjwage"
2019,22.9731976537817,22.8818461650553,22.8911145705663
2023,23.6686153411865,23.5917230987549,23.6778245622408
2019,22.9900323906071,23.2052999466712,23.1140617779561
2023,24,23.9439784240723,23.9754856635705
2019,23.9096586772534,23.5545045138644,23.7699501730122
2023,24.0499992370605,24.2762337493896,24.1028895089386
2019,23.9096586772534,23.8678445930416,23.8816198741096
2023,25,24.6244891357422,24.8913697546269
2019,23.9096586772534,24.187616394482,23.9932895752069
2023,25,24.9507445526123,24.9772931687029
2019,24.2085294107191,24.5552075132769,24.3154524793513
2023,25,25.28,25.0632165827789
2019,25.1051416111161,24.9809788258419,25.0302991332027
2023,25.5,25.6560000610352,25.4739251438912
2019,25.4040123445817,25.4177844042956,25.4379503196667
2023,26,26.0720001220703,26.0080306640339
2019,25.8636761346254,25.8885416542911,26.0588311181273
2023,26.4500007629395,26.5233335113526,26.4965846993995
2019,26.3006245449787,26.3942547771148,26.3222680875248
2023,27,27.0126668548584,27.0017711486922
2019,26.8983660119101,26.9017969873681,26.861550461625
2023,27.5,27.5343002319336,27.5714945857797
2019,27.4961074788414,27.4212940269599,27.4405098069662
2023,28,28.0559336090088,28.0645359224432
2019,27.7471578004553,27.9407910665518,27.7323665921876
2023,28.8333339691162,28.577566986084,28.6981694185645
2019,28.6915904127041,28.4641137390918,28.6187504626244
2023,28.8500003814697,29.0825336456299,28.8739599686196
2019,28.737317598441,28.9699584752177,28.8048272910524
2023,29.8075008392334,29.6175003051758,29.828924837996
2019,29.8870733465667,29.4960546951618,29.7611699501919
2023,30,30.147866897583,30.0145968782702
2019,29.8870733465667,29.9982412564287,29.9049649573783
2023,30.5,30.7115667724609,30.5158271042311
2019,30.1859440800324,30.5482471350502,30.2154302463406
2023,31.25,31.3052666473389,31.2144332742672
2019,31.0825562804294,31.1716556585141,31.0969661896644
2023,32,31.9368997955322,31.9046352550472
2019,31.6802977473607,31.8355192653571,31.7802712896238
2023,32.5,32.5625329589844,32.4896304312636
2019,32.2780392142921,32.5447807054534,32.3976788768158
2023,33.3333320617676,33.2204661560059,33.2920879462139
